Reporting BLEU sacre_bleu
Experiment/BLEU	newstest2014	newstest2018	newstest2019
runs-ende-001m/000-ende-chars-r1/test_step200000_beam4_ens10_lp0.6	20.2	31.8	28.2
runs-ende-001m/011-ende-.5k.5k-r1/test_step200000_beam4_ens10_lp0.6	22.1	35.2	31.1
runs-ende-001m/022-ende-01k01k-r1/test_step200000_beam4_ens10_lp0.6	22.5	36.3	32.2
runs-ende-001m/033-ende-02k02k-r1/test_step200000_beam4_ens10_lp0.6	22.7	36.9	32.7
runs-ende-001m/044-ende-04k04k-r1/test_step200000_beam4_ens10_lp0.6	23.1	36.7	32.9
runs-ende-001m/055-ende-08k08k-r1/test_step188000_beam4_ens10_lp0.6	23.3	37.0	33.0
runs-ende-001m/066-ende-16k16k-r1/test_step125000_beam4_ens10_lp0.6	23.3	36.8	32.8
runs-ende-001m/077-ende-32k32k-r1/test_step149000_beam4_ens10_lp0.6	22.9	36.1	32.5
runs-ende-001m/088-ende-48k48k-r1/test_step114000_beam4_ens10_lp0.6	22.5	35.7	32.0
runs-ende-001m/099-ende-64k64k-r1/test_step94000_beam4_ens10_lp0.6	22.5	35.1	31.4
runs-ende-030k/000-ende-chars-r1/test_step42000_beam4_ens10_lp0.6	1.1	1.5	1.5
runs-ende-030k/011-ende-.5k.5k-r1/test_step29000_beam4_ens10_lp0.6	5.0	6.9	6.3
runs-ende-030k/022-ende-01k01k-r1/test_step25000_beam4_ens10_lp0.6	5.9	8.4	7.5
runs-ende-030k/033-ende-02k02k-r1/test_step22000_beam4_ens10_lp0.6	6.3	9.2	8.2
runs-ende-030k/044-ende-04k04k-r1/test_step19000_beam4_ens10_lp0.6	7.1	9.9	9.1
runs-ende-030k/055-ende-08k08k-r1/test_step18000_beam4_ens10_lp0.6	7.2	10.1	9.3
runs-ende-030k/066-ende-16k16k-r1/test_step17000_beam4_ens10_lp0.6	6.2	8.9	8.0
runs-ende-030k/077-ende-32k32k-r1/test_step17000_beam4_ens10_lp0.6	5.2	7.4	6.7
runs-ende-030k/088-ende-48k48k-r1/test_step17000_beam4_ens10_lp0.6	5.0	7.1	6.6
runs-ende-030k/099-ende-64k64k-r1/test_step17000_beam4_ens10_lp0.6	5.2	7.6	6.7
runs-ende-500k/000-ende-chars-r1/test_step200000_beam4_ens10_lp0.6	19.6	31.0	26.8
runs-ende-500k/011-ende-.5k.5k-r1/test_step200000_beam4_ens10_lp0.6	21.4	33.8	29.4
runs-ende-500k/022-ende-01k01k-r1/test_step200000_beam4_ens10_lp0.6	21.6	33.9	30.0
runs-ende-500k/033-ende-02k02k-r1/test_step127000_beam4_ens10_lp0.6	21.4	33.9	30.4
runs-ende-500k/044-ende-04k04k-r1/test_step122000_beam4_ens10_lp0.6	21.5	34.4	30.2
runs-ende-500k/055-ende-08k08k-r1/test_step140000_beam4_ens10_lp0.6	21.5	33.8	30.2
runs-ende-500k/066-ende-16k16k-r1/test_step101000_beam4_ens10_lp0.6	21.2	33.4	29.3
runs-ende-500k/077-ende-32k32k-r1/test_step79000_beam4_ens10_lp0.6	20.9	32.6	29.4
