Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	5	▁	1677240	3586	4320	0.808337	0.72073	0.762024
2	133	the▁	1440771	3773	4185	0.829345	0.750518	0.787965
3	136	,▁	1193305	3050	2936	0.756529	0.782976	0.769525
4	139	.▁	1042173	2877	2905	0.986516	0.978502	0.982492
5	126	s▁	879255	2617	2815	0.761159	0.706085	0.732588
6	17	c	800240	2278	2190	0.701128	0.732862	0.716644
7	10	i	767040	1919	1828	0.705137	0.737649	0.721027
8	149	of▁	756814	1703	1724	0.678785	0.669813	0.67427
9	11	n	724201	2341	2200	0.690129	0.738365	0.713432
10	150	and▁	703719	1263	1291	0.893713	0.866118	0.879699
11	151	to▁	673353	1777	1493	0.611744	0.730047	0.66568
12	153	a▁	617364	1724	1575	0.718223	0.797376	0.755733
13	125	e▁	582227	1859	1707	0.663638	0.716009	0.688829
14	140	re	568669	1464	1434	0.65823	0.68338	0.670569
15	19	m	538847	1664	1560	0.664006	0.715423	0.688756
16	6	e	534039	1654	1510	0.669527	0.726903	0.697036
17	7	t	507668	1419	1389	0.690091	0.707076	0.69848
18	21	f	496795	1329	1313	0.6779	0.690029	0.683911
19	159	in▁	494101	1209	1274	0.690799	0.662412	0.676308
20	135	y▁	453340	1169	1132	0.66453	0.691026	0.677519
21	130	d▁	442576	1991	1775	0.621797	0.70804	0.662122
22	22	g	430353	1438	1382	0.673048	0.700379	0.686441
23	14	h	430200	1634	1564	0.707647	0.740238	0.723576
24	132	in	422496	973	989	0.664395	0.651276	0.65777
25	129	t▁	420740	1238	1127	0.597386	0.648894	0.622076
26	134	an	406598	1269	1228	0.707937	0.742947	0.725019
27	13	s	403068	1570	1283	0.636894	0.780786	0.701538
28	154	ed▁	392923	1369	1413	0.64603	0.627041	0.636394
29	12	r	384256	1321	1295	0.668455	0.698615	0.683203
30	157	es▁	377008	929	916	0.616967	0.627522	0.622199
31	16	d	356585	1159	1055	0.642927	0.722607	0.680443
32	220	de	356303	937	997	0.663281	0.621214	0.641559
33	158	is▁	355169	652	680	0.614114	0.580318	0.596738
34	148	on▁	346431	909	805	0.568811	0.643249	0.603744
35	131	er	331069	870	863	0.688547	0.69691	0.692704
36	169	al▁	316605	793	743	0.67868	0.713065	0.695448
37	25	b	316180	988	901	0.654467	0.725057	0.687956
38	20	p	313089	1022	865	0.58661	0.699011	0.637897
39	161	st	309895	816	777	0.629684	0.659701	0.644343
40	155	ing▁	301749	905	579	0.372697	0.57701	0.452877
41	18	u	300770	987	941	0.654897	0.685376	0.66979
42	9	o	292793	852	836	0.624594	0.641423	0.632897
43	163	at	292125	798	720	0.625744	0.700714	0.66111
44	245	ne	285802	822	787	0.673071	0.697712	0.68517
45	27	v	279800	766	725	0.603938	0.628441	0.615946
46	144	ar	278898	832	756	0.6025	0.671384	0.635079
47	34	A	271547	885	867	0.762559	0.782233	0.772271
48	213	li	269766	791	714	0.663197	0.732074	0.695935
49	188	that▁	260562	539	681	0.607018	0.486159	0.539907
50	377	te	260023	675	692	0.679683	0.666667	0.673112
51	190	pro	256941	474	452	0.63427	0.666667	0.650065
52	201	ri	253643	756	782	0.713831	0.693036	0.70328
53	24	w	251792	931	847	0.652005	0.713184	0.681224
54	166	si	251413	652	609	0.66898	0.715974	0.691679
55	487	la	250048	639	583	0.671463	0.733724	0.701214
56	173	it	249663	539	513	0.673278	0.710279	0.691284
57	306	me	249028	629	597	0.689353	0.728171	0.70823
58	172	ac	248961	629	568	0.586151	0.653505	0.617998
59	143	al	246814	666	636	0.703743	0.733273	0.718204
60	229	le	246766	639	621	0.639542	0.648551	0.644015
61	345	ra	245206	573	595	0.638944	0.624718	0.631751
62	193	for▁	244905	542	538	0.584366	0.591228	0.587777
63	23	y	237262	794	739	0.728951	0.790323	0.758397
64	236	vi	232515	615	526	0.54432	0.631598	0.58472
65	32	S	232007	839	825	0.822828	0.826127	0.824474
66	15	l	229413	695	659	0.629379	0.655283	0.64207
67	29	k	223045	676	615	0.65	0.7131	0.680089
68	142	en	218422	460	472	0.682305	0.651891	0.666751
69	33	C	214555	559	528	0.770504	0.795271	0.782692
70	208	un	213247	567	520	0.598009	0.658333	0.626723
71	137	or	211905	676	681	0.709064	0.704861	0.706956
72	187	as	211815	641	584	0.621546	0.669187	0.644487
73	152	g▁	211447	776	627	0.48486	0.600782	0.536632
74	215	di	208005	533	542	0.675729	0.663051	0.66933
75	228	be	207622	634	612	0.670657	0.695184	0.6827
76	127	th	205162	569	527	0.590095	0.669643	0.627357
77	174	an▁	203190	688	653	0.689221	0.727623	0.707902
78	128	n▁	202462	784	703	0.636457	0.705892	0.669379
79	160	er▁	202387	826	751	0.66363	0.732219	0.696239
80	285	se	202160	700	608	0.554936	0.647077	0.597475
81	147	on	200532	539	466	0.648421	0.750202	0.695608
82	156	ro	199910	548	522	0.633472	0.670842	0.651622
83	182	ur	196006	527	498	0.668091	0.712754	0.6897
84	37	M	195793	497	512	0.811204	0.78149	0.79607
85	35	-	195446	680	437	0.414811	0.650699	0.506644
86	175	is	190365	529	493	0.586872	0.633181	0.609148
87	198	pl	185307	503	507	0.559158	0.559762	0.55946
88	206	ad	184841	509	456	0.530837	0.595533	0.561327
89	211	are▁	183406	405	404	0.569705	0.561835	0.565743
90	164	l▁	183060	480	414	0.593602	0.681042	0.634323
91	204	ation▁	182662	334	348	0.613934	0.584896	0.599063
92	209	su	179473	425	398	0.590009	0.633613	0.611034
93	246	ci	178228	367	385	0.663163	0.649096	0.656054
94	205	am	177236	447	453	0.718204	0.706798	0.712455
95	239	ul	176302	432	415	0.608063	0.640328	0.623779
96	177	il	176123	605	579	0.715779	0.777294	0.745269
97	286	lo	175980	506	438	0.586336	0.686752	0.632584
98	8	a	175373	606	569	0.632061	0.675981	0.653284
99	429	to	172259	601	481	0.547101	0.684884	0.608288
100	200	ts▁	169367	361	386	0.601626	0.560345	0.580252
101	217	k▁	168538	551	527	0.653333	0.675	0.66399
102	162	ic	167833	361	355	0.708955	0.723577	0.716192
103	223	with▁	167759	441	439	0.600365	0.601467	0.600915
104	178	as▁	167372	469	372	0.54033	0.692308	0.60695
105	238	ch	167132	738	666	0.673361	0.750748	0.709952
106	225	tr	166917	534	513	0.637085	0.665902	0.651175
107	224	op	166629	374	419	0.715196	0.667582	0.690569
108	359	mo	163490	419	437	0.74349	0.716456	0.729722
109	226	The▁	162404	530	562	0.736138	0.691071	0.712893
110	138	ti	161328	416	436	0.690991	0.655498	0.672777
111	227	be▁	160634	393	282	0.419164	0.583645	0.487916
112	185	ly▁	159340	363	366	0.585559	0.577941	0.581725
113	36	E	157301	251	260	0.785398	0.765512	0.775328
114	371	co	156513	515	507	0.658427	0.667966	0.663162
115	167	at▁	153856	469	425	0.479616	0.517566	0.497869
116	189	en▁	153267	518	455	0.57343	0.650657	0.609607
117	438	so	152612	386	329	0.590529	0.69071	0.636703
118	424	fi	151083	417	415	0.657018	0.664622	0.660798
119	40	P	148875	332	360	0.799831	0.743954	0.770881
120	230	no	146806	433	428	0.696624	0.705471	0.70102
121	231	it▁	145228	340	317	0.422581	0.455932	0.438623
122	195	wh	145183	460	480	0.661695	0.632867	0.64696
123	41	B	145144	564	604	0.818546	0.763175	0.789891
124	280	ent	145117	280	290	0.59434	0.579545	0.586849
125	222	ex	144320	377	457	0.653846	0.54955	0.597178
126	203	con	143897	322	343	0.657127	0.620754	0.638423
127	42	1	143537	432	421	0.909045	0.948248	0.928233
128	373	ut	142750	376	404	0.698592	0.653674	0.675387
129	237	I▁	142349	147	151	0.951467	0.907828	0.929135
130	333	hi	140435	561	557	0.726164	0.719063	0.722596
131	141	o▁	140369	424	439	0.746881	0.721361	0.733899
132	196	em	139664	316	294	0.644781	0.703086	0.672673
133	235	pe	138263	404	430	0.635638	0.627177	0.631379
134	171	tion▁	138223	259	277	0.511806	0.48112	0.495989
135	472	na	135791	283	275	0.711686	0.732422	0.721905
136	194	ol	135641	431	373	0.651754	0.74752	0.69636
137	183	ent▁	134085	219	197	0.521242	0.57754	0.547949
138	168	or▁	133626	310	315	0.701632	0.71256	0.707054
139	244	this▁	133419	222	218	0.594037	0.608491	0.601177
140	360	ni	133163	334	349	0.667204	0.636831	0.651664
141	302	gr	131885	268	262	0.679947	0.688755	0.684323
142	30	T	130069	244	240	0.698519	0.710046	0.704235
143	252	sh	129898	382	353	0.595446	0.640966	0.617368
144	176	el	129236	388	383	0.681998	0.67781	0.679898
145	170	ec	129089	318	342	0.66443	0.618671	0.640734
146	192	r▁	128229	487	449	0.659674	0.717854	0.687535
147	210	ag	127323	322	338	0.617162	0.596999	0.606913
148	395	st▁	126751	408	448	0.788978	0.71757	0.751582
149	214	com	126567	290	282	0.541045	0.554071	0.547481
150	249	qu	126066	228	223	0.53653	0.546512	0.541475
151	197	us	125714	363	329	0.680597	0.75	0.713615
152	216	ha	125321	533	532	0.605853	0.610106	0.607972
153	46	R	124831	296	290	0.78553	0.803571	0.794448
154	256	im	124239	222	227	0.656682	0.646789	0.651698
155	47	j	123880	358	305	0.560294	0.67536	0.612469
156	48	F	123588	408	411	0.760589	0.751812	0.756175
157	165	om	122931	232	221	0.702703	0.739234	0.720506
158	49	D	120945	326	322	0.733683	0.754258	0.743828
159	253	not▁	120605	253	341	0.811966	0.595535	0.68711
160	254	by▁	120401	324	265	0.493355	0.604082	0.543133
161	343	gi	117839	261	222	0.554435	0.658456	0.601985
162	309	ev	117061	367	316	0.553892	0.646048	0.596431
163	417	ai	116938	726	578	0.568903	0.737784	0.64243
164	365	we	115931	482	464	0.630734	0.664234	0.64705
165	248	ap	115337	255	254	0.666667	0.659751	0.663191
166	330	et	115150	319	297	0.659468	0.69788	0.678131
167	259	we▁	115004	105	105	0.767361	0.765306	0.766332
168	50	U	113933	266	267	0.841737	0.830579	0.83612
169	260	have▁	113920	253	258	0.540984	0.528226	0.534529
170	52	H	113467	498	406	0.691066	0.854703	0.764223
171	328	tu	113410	194	205	0.572581	0.542955	0.557375
172	53	G	111531	326	341	0.846177	0.804224	0.824667
173	218	le▁	111483	341	349	0.683386	0.672878	0.678091
174	145	ou	111183	336	311	0.603503	0.655785	0.628559
175	240	res	110280	230	218	0.520737	0.550239	0.535082
176	264	you▁	108437	84	69	0.544776	0.649123	0.59239
177	54	O	108125	283	265	0.732824	0.789116	0.759929
178	55	z	107841	268	248	0.645923	0.701229	0.672441
179	323	sp	107776	343	335	0.667722	0.675983	0.671827
180	261	the	107627	249	298	0.597163	0.507143	0.548484
181	207	ab	105261	263	267	0.495868	0.47668	0.486085
182	56	L	104877	190	194	0.841954	0.819444	0.830547
183	274	ot	103593	175	146	0.648485	0.769504	0.70383
184	251	ity▁	103045	158	180	0.693333	0.601744	0.6443
185	31	I	102377	111	108	0.795238	0.815534	0.805258
186	378	se▁	101850	228	215	0.569124	0.600962	0.58461
187	272	all▁	100460	188	168	0.548803	0.61875	0.581681
188	57	N	99818	286	284	0.841965	0.85	0.845964
189	293	w▁	99190	317	301	0.641069	0.667254	0.653899
190	288	par	99012	221	232	0.646538	0.621283	0.633659
191	277	will▁	99009	294	177	0.353129	0.595092	0.443239
192	39	0	98057	264	213	0.790287	0.96	0.866915
193	279	which▁	97049	176	162	0.457594	0.490566	0.473507
194	184	ve▁	96906	257	221	0.457143	0.528708	0.490328
195	202	wi	95635	254	211	0.432203	0.581006	0.495678
196	180	h▁	95328	295	268	0.625919	0.685696	0.654445
197	283	from▁	95146	302	286	0.571942	0.599383	0.585341
198	284	wor	94788	177	186	0.681034	0.651934	0.666166
199	265	ate▁	94498	191	200	0.48913	0.458115	0.473115
200	43	W	93980	297	303	0.800858	0.781362	0.79099
201	181	m▁	93621	257	236	0.553446	0.617512	0.583726
202	349	po	93441	205	195	0.564312	0.587912	0.57587
203	423	bl	91691	218	253	0.710526	0.619149	0.661698
204	28	.	91642	144	112	0.59571	0.801948	0.683613
205	337	um	90974	196	185	0.651639	0.696532	0.673338
206	299	per	90601	313	246	0.509164	0.642553	0.568134
207	291	(▁	90122	94	72	0.573171	0.69403	0.627837
208	282	p▁	89167	281	199	0.499366	0.697917	0.582178
209	292	)▁	89126	94	72	0.573171	0.69403	0.627837
210	38	x	88759	240	252	0.795626	0.747881	0.771015
211	241	ter	88646	188	210	0.641667	0.577889	0.60811
212	320	ted▁	86833	289	241	0.414855	0.49569	0.451684
213	146	f▁	86814	251	230	0.598712	0.650538	0.62355
214	232	ver	85785	354	328	0.637638	0.692182	0.663791
215	250	ay▁	85370	241	192	0.415205	0.534259	0.467268
216	348	pos	84751	173	156	0.489451	0.529801	0.508828
217	294	ment▁	84726	183	231	0.705882	0.553488	0.620465
218	394	ear	84686	415	381	0.779189	0.852827	0.814346
219	456	go	84595	251	207	0.528369	0.639731	0.578741
220	303	str	84403	194	161	0.568681	0.682119	0.620256
221	468	bo	83593	245	243	0.712922	0.70887	0.71089
222	290	our▁	83483	104	80	0.661765	0.85443	0.745856
223	300	has▁	83382	234	212	0.537778	0.591787	0.563491
224	234	ce▁	83230	270	247	0.594577	0.64346	0.618053
225	356	est	80761	216	233	0.698565	0.65	0.673408
226	314	can▁	78041	160	152	0.577419	0.609589	0.593068
227	273	bu	77766	233	216	0.58945	0.738745	0.655707
228	311	cl	77675	234	283	0.696759	0.573436	0.629111
229	233	for	77163	198	214	0.673684	0.623153	0.647434
230	308	out▁	76293	252	224	0.37395	0.420597	0.395904
231	310	et▁	75235	193	138	0.467568	0.644444	0.541939
232	262	ff	74255	176	189	0.657738	0.672802	0.665185
233	295	ic▁	74128	203	191	0.742188	0.781081	0.761138
234	275	tic	74081	171	162	0.613588	0.648526	0.630574
235	415	pr	73336	128	118	0.584677	0.628205	0.60566
236	45	2	72763	196	189	0.910494	0.950855	0.930237
237	319	rec	71744	190	192	0.592391	0.583784	0.588056
