Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	133	the▁	1440784	2161	2668	0.877911	0.708723	0.784296
2	136	,▁	1193305	2017	2453	0.811907	0.727677	0.767488
3	139	.▁	1020800	1953	2002	0.967541	0.933834	0.950389
4	149	of▁	756838	1054	1222	0.737729	0.641637	0.686336
5	150	and▁	698636	960	1043	0.919105	0.848519	0.882402
6	151	to▁	647403	1227	1131	0.696509	0.75014	0.72233
7	5	▁	545086	1111	967	0.698772	0.796339	0.744372
8	153	a▁	543801	1240	1189	0.78627	0.824475	0.804919
9	159	in▁	478011	921	1090	0.736722	0.656254	0.694164
10	158	is▁	348896	410	516	0.715184	0.581655	0.641545
11	126	s▁	338960	682	843	0.741818	0.613121	0.671358
12	148	on▁	270355	641	618	0.651036	0.673875	0.662258
13	188	that▁	260561	457	662	0.706718	0.477867	0.570187
14	154	ed▁	256290	673	728	0.637289	0.594371	0.615082
15	11	n	245775	674	613	0.653598	0.725051	0.687473
16	193	for▁	244873	378	385	0.656433	0.64073	0.648486
17	125	e▁	218064	568	545	0.710979	0.731681	0.721182
18	129	t▁	214021	626	518	0.592023	0.715457	0.647913
19	10	i	188786	313	326	0.703358	0.736601	0.719596
20	155	ing▁	183499	429	285	0.339623	0.525874	0.412708
21	157	es▁	171490	329	312	0.638792	0.66903	0.653562
22	223	with▁	167756	293	311	0.691975	0.642445	0.666291
23	211	are▁	166101	188	189	0.507752	0.513645	0.510682
24	226	The▁	162404	302	343	0.813953	0.718475	0.76324
25	227	be▁	159969	211	187	0.522337	0.573864	0.546889
26	35	-	157348	370	282	0.530135	0.667404	0.590902
27	178	as▁	155062	303	247	0.562585	0.678686	0.615206
28	6	e	151780	385	377	0.748698	0.768246	0.758346
29	13	s	146276	427	374	0.622207	0.723878	0.669203
30	32	S	144794	478	423	0.79728	0.902616	0.846684
31	174	an▁	143109	377	391	0.741919	0.726838	0.734301
32	135	y▁	142613	394	367	0.71077	0.762721	0.73583
33	237	I▁	142349	248	257	0.936842	0.914757	0.925668
34	231	it▁	137579	264	257	0.619444	0.640741	0.629913
35	17	c	137134	315	372	0.751504	0.638199	0.690232
36	244	this▁	133417	111	136	0.720183	0.586466	0.646483
37	33	C	129649	264	271	0.853727	0.83125	0.842339
38	254	by▁	120400	204	195	0.617188	0.652778	0.634484
39	160	er▁	119209	319	315	0.706714	0.713808	0.710243
40	37	M	118565	367	361	0.862275	0.877676	0.869907
41	259	we▁	114984	109	109	0.825439	0.842491	0.833878
42	204	ation▁	114011	144	119	0.592593	0.722727	0.651222
43	260	have▁	113917	189	208	0.531073	0.476562	0.502344
44	131	er	113592	235	224	0.738532	0.77512	0.756384
45	168	or▁	112840	158	143	0.707108	0.771164	0.737748
46	130	d▁	111234	359	331	0.624473	0.681235	0.65162
47	40	P	110247	231	232	0.880383	0.872038	0.87619
48	253	not▁	110031	153	240	0.87296	0.545387	0.671346
49	264	you▁	108433	96	95	0.770833	0.785714	0.778203
50	169	al▁	106794	216	188	0.570352	0.668627	0.615592
51	167	at▁	102964	292	259	0.523764	0.582627	0.55163
52	140	re	101381	308	318	0.732143	0.718171	0.72509
53	277	will▁	99005	167	188	0.655556	0.588353	0.620139
54	345	ra	98064	229	227	0.735222	0.740148	0.737677
55	279	which▁	97048	98	110	0.484536	0.433333	0.457507
56	14	h	96998	254	237	0.671761	0.726917	0.698252
57	283	from▁	95129	163	144	0.518987	0.589286	0.551907
58	34	A	93235	165	155	0.803448	0.866915	0.833976
59	36	E	92295	105	113	0.828125	0.776699	0.801588
60	20	p	91226	167	160	0.62987	0.656667	0.642989
61	12	r	91100	244	238	0.690323	0.711478	0.700741
62	152	g▁	91006	221	162	0.464521	0.624183	0.532645
63	22	g	90426	217	254	0.704082	0.61037	0.653886
64	132	in	90247	181	204	0.707831	0.627451	0.665222
65	291	(▁	90122	30	30	0.758621	0.758621	0.758621
66	292	)▁	89126	30	30	0.758621	0.758621	0.758621
67	128	n▁	88308	336	236	0.577401	0.838969	0.684033
68	9	o	87514	237	232	0.704651	0.726829	0.715568
69	290	our▁	86694	127	126	0.830357	0.854938	0.842468
70	15	l	86544	274	199	0.582256	0.787453	0.669484
71	41	B	85610	310	317	0.892677	0.880862	0.88673
72	171	tion▁	84355	76	95	0.628378	0.505495	0.560278
73	300	has▁	83388	191	177	0.459048	0.501592	0.479378
74	217	k▁	82164	241	238	0.675556	0.688073	0.681757
75	30	T	81927	176	167	0.820697	0.85	0.835092
76	18	u	81664	207	177	0.589744	0.699187	0.639819
77	201	ri	81027	184	154	0.603792	0.69863	0.647758
