Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	138	the▁	46682	2161	3041	0.848011	0.628844	0.722165
2	142	,▁	38245	2017	2395	0.749736	0.673139	0.709376
3	148	.▁	30480	1957	2099	0.967191	0.912555	0.939079
4	155	of▁	24385	1056	1407	0.698785	0.536265	0.606832
5	157	and▁	21535	971	1076	0.899824	0.816182	0.855965
6	156	to▁	21353	1227	1109	0.56753	0.636967	0.600247
7	5	▁	20568	1620	1410	0.600159	0.690404	0.642126
8	132	s▁	18993	1151	1282	0.629631	0.56092	0.593293
9	11	n	17780	1416	1251	0.591744	0.685528	0.635193
10	163	a▁	17142	1354	1431	0.769166	0.744759	0.756766
11	165	in▁	15484	930	1099	0.667076	0.573451	0.61673
12	17	c	11911	757	635	0.499221	0.589263	0.540518
13	161	is▁	11620	413	585	0.618409	0.442088	0.51559
14	159	ed▁	10884	893	746	0.466292	0.568053	0.512167
15	134	t▁	10305	871	648	0.40434	0.543657	0.463762
16	185	that▁	10133	457	695	0.66882	0.431364	0.524467
17	131	e▁	9747	863	661	0.482868	0.623547	0.544264
18	162	ing▁	8999	718	357	0.25614	0.508827	0.340749
19	12	s	8810	1036	786	0.52554	0.708856	0.603586
20	10	i	8582	667	604	0.522836	0.587665	0.553358
21	153	on▁	8508	623	524	0.483011	0.589534	0.530983
22	6	e	8321	671	547	0.48021	0.584094	0.527082
23	164	es▁	8118	482	428	0.464514	0.513228	0.487657
24	199	for▁	7785	378	348	0.535088	0.584127	0.558533
25	139	in	7379	398	398	0.510602	0.512462	0.51153
26	141	y▁	7182	562	492	0.509279	0.578431	0.541657
27	7	t	7007	517	354	0.433178	0.638614	0.516207
28	13	r	6779	527	512	0.522248	0.536859	0.529453
29	252	de	6650	534	437	0.47575	0.593508	0.528145
30	136	d▁	6552	642	530	0.44899	0.546415	0.492935
31	174	al▁	6431	321	329	0.547619	0.539792	0.543678
32	145	re	6420	494	505	0.558176	0.572154	0.565079
33	173	st	6207	441	406	0.456049	0.488713	0.471816
34	254	ne	5905	440	440	0.596939	0.613657	0.605182
35	8	o	5803	563	474	0.484873	0.574074	0.525717
36	35	-	5793	433	351	0.394408	0.452098	0.421287
37	150	ar	5768	488	401	0.507149	0.622861	0.559081
38	218	are▁	5660	209	273	0.489474	0.38424	0.430519
39	16	d	5594	410	335	0.437205	0.547368	0.486124
40	222	I▁	5584	248	251	0.862281	0.868108	0.865185
41	225	be▁	5536	211	244	0.505155	0.427632	0.463172
42	137	er	5448	354	343	0.609935	0.633621	0.621552
43	310	me	5359	312	317	0.534965	0.533573	0.534268
44	180	an▁	5333	389	363	0.569567	0.616721	0.592207
45	149	al	5209	364	328	0.63188	0.712865	0.669934
46	21	f	5203	361	336	0.444624	0.475112	0.459362
47	216	li	5184	416	355	0.53881	0.630293	0.580972
48	135	n▁	5162	579	519	0.546119	0.61291	0.57759
49	184	as▁	5162	317	296	0.538737	0.572917	0.555301
50	20	p	5142	386	304	0.448603	0.558458	0.497539
51	140	an	5096	450	420	0.635256	0.673783	0.653953
52	34	S	5013	695	622	0.681519	0.791039	0.732207
53	24	w	4978	489	392	0.446126	0.554563	0.494469
54	237	with▁	4867	293	278	0.540123	0.566013	0.552765
55	379	ra	4811	294	235	0.401427	0.509479	0.449044
56	260	le	4772	396	329	0.41982	0.514788	0.462479
57	242	this▁	4741	111	145	0.655963	0.503676	0.569821
58	36	M	4721	475	460	0.769781	0.803404	0.786233
59	229	it▁	4688	268	244	0.419399	0.458716	0.438177
60	209	ation▁	4675	159	164	0.516667	0.505669	0.511109
61	29	k	4652	439	404	0.516536	0.571569	0.542661
62	18	u	4507	413	404	0.562092	0.594078	0.577642
63	246	The▁	4453	302	382	0.792359	0.627968	0.70065
64	248	we▁	4409	109	111	0.772807	0.772401	0.772604
65	227	tion▁	4387	110	179	0.544554	0.32622	0.408015
66	143	ti	4306	188	194	0.545977	0.52809	0.536885
67	170	at	4289	412	330	0.506518	0.653118	0.570551
68	144	or	4273	302	363	0.705063	0.579469	0.636126
69	335	se	4207	322	288	0.401593	0.45057	0.424674
70	670	la	4194	347	347	0.602236	0.606711	0.604465
71	23	y	4141	379	312	0.555212	0.651135	0.59936
72	239	di	4135	252	234	0.475071	0.531299	0.501614
73	256	have▁	4116	189	259	0.474576	0.349576	0.402597
74	212	ad	4066	275	261	0.457143	0.485931	0.471097
75	37	A	3996	269	281	0.68913	0.660028	0.674265
76	249	not▁	3960	153	249	0.808858	0.488201	0.608893
77	158	g▁	3932	368	247	0.293068	0.442922	0.35274
78	14	h	3871	331	245	0.409532	0.566038	0.475231
79	200	ol	3842	317	296	0.547577	0.590467	0.568214
80	263	by▁	3815	204	149	0.385417	0.527972	0.44557
81	208	con	3814	145	161	0.516183	0.454545	0.483407
82	233	be	3752	268	269	0.49932	0.50068	0.499999
83	179	si	3696	246	257	0.579439	0.547307	0.562915
84	681	ge	3694	261	208	0.417367	0.540998	0.471208
85	39	P	3689	333	350	0.777592	0.758137	0.767741
86	27	v	3648	232	199	0.480296	0.555556	0.515192
87	22	g	3619	364	278	0.398893	0.517857	0.450656
88	25	b	3531	299	218	0.405013	0.558923	0.46968
89	182	ly▁	3519	182	151	0.318966	0.381119	0.347283
90	169	at▁	3516	334	225	0.316498	0.461823	0.375593
91	160	ro	3381	209	200	0.507614	0.539815	0.52322
92	152	on	3374	290	281	0.597169	0.628571	0.612468
93	250	or▁	3367	181	175	0.58172	0.595556	0.588557
94	203	ts▁	3361	201	203	0.491935	0.484259	0.488067
95	32	C	3360	295	323	0.788995	0.720185	0.753021
96	277	which▁	3337	98	153	0.448454	0.291391	0.353251
97	278	will▁	3330	167	203	0.565556	0.482857	0.520945
98	43	B	3327	409	422	0.834821	0.811947	0.823225
99	197	am	3293	224	207	0.557756	0.596859	0.576645
100	49	F	3267	244	247	0.723502	0.721451	0.722475
101	31	T	3219	318	323	0.771709	0.742908	0.757034
102	230	ex	3210	149	172	0.604167	0.527607	0.563298
103	15	l	3195	302	206	0.405827	0.576427	0.476312
104	213	un	3180	218	205	0.549261	0.596188	0.571763
105	166	er▁	3173	317	277	0.504197	0.578838	0.538945
106	50	R	3170	325	329	0.837931	0.853274	0.845533
107	371	to	3150	328	283	0.453672	0.527886	0.487974
108	348	te	3147	255	230	0.465972	0.531707	0.496674
109	235	ri	3101	302	238	0.519065	0.659591	0.580951
110	168	ic	3052	282	245	0.593915	0.698113	0.641813
111	133	th	3047	208	215	0.664903	0.651515	0.658141
112	202	r▁	3013	358	252	0.433657	0.597345	0.502507
113	269	ch	3001	287	216	0.399667	0.542357	0.460205
114	290	has▁	2943	191	214	0.42	0.375	0.396226
115	51	D	2939	289	233	0.595918	0.771966	0.672613
116	52	G	2891	207	209	0.801754	0.8	0.800876
117	33	E	2873	144	138	0.708	0.724932	0.716366
118	211	op	2872	165	201	0.609272	0.50515	0.552347
119	268	ate▁	2835	108	127	0.361386	0.306268	0.331552
120	544	he	2813	327	202	0.398577	0.628571	0.487824
121	296	European▁	2809	19	19	0.894737	0.894737	0.894737
122	196	as	2792	209	186	0.543651	0.621756	0.580086
123	53	H	2784	323	316	0.742475	0.785971	0.763604
124	494	fi	2743	154	149	0.444444	0.472431	0.458011
