Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	5	▁	7349337	2627	3317	0.859821	0.716069	0.781388
2	130	the▁	6537819	2161	2783	0.883017	0.69337	0.776786
3	133	,▁	5389678	2017	2167	0.801197	0.753594	0.776667
4	137	.▁	4691026	1957	1902	0.960013	0.965588	0.962792
5	123	s▁	3973847	1722	1884	0.806151	0.735702	0.769317
6	17	c	3615882	1230	1320	0.757289	0.706924	0.73124
7	10	i	3469877	1372	1431	0.769377	0.78864	0.778889
8	146	of▁	3435796	1054	1280	0.744025	0.625384	0.679565
9	11	n	3306450	1575	1469	0.698058	0.746119	0.721289
10	147	and▁	3175036	961	1045	0.926587	0.85231	0.887898
11	148	to▁	3051947	1295	1170	0.684775	0.763647	0.722064
12	151	a▁	2770520	1369	1311	0.801131	0.837821	0.819066
13	122	e▁	2617900	1571	1572	0.769332	0.769697	0.769514
14	136	re	2575592	1012	1047	0.746974	0.715624	0.730963
15	19	m	2437252	1167	1154	0.755259	0.75439	0.754824
16	6	e	2400248	1181	1031	0.688916	0.785439	0.734018
17	7	t	2290373	1027	1021	0.714512	0.729348	0.721854
18	156	in▁	2244769	939	1029	0.735208	0.685933	0.709716
19	21	f	2242766	929	935	0.729047	0.727419	0.728232
20	132	y▁	2048182	992	930	0.736554	0.789469	0.762094
21	127	d▁	1991579	1524	1564	0.752553	0.741204	0.746835
22	22	g	1951726	981	892	0.678636	0.738422	0.707268
23	14	h	1923853	1237	1216	0.776208	0.791616	0.783836
24	129	in	1920034	702	738	0.717679	0.689895	0.703513
25	126	t▁	1894884	968	758	0.562925	0.73145	0.636217
26	131	an	1846001	793	878	0.828667	0.742623	0.783289
27	13	s	1826332	1105	1012	0.736731	0.812598	0.772807
28	150	ed▁	1776889	997	1075	0.722101	0.67101	0.695619
29	12	r	1740696	904	930	0.724245	0.698619	0.711201
30	154	es▁	1701823	576	578	0.672943	0.674983	0.673961
31	217	de	1615903	707	732	0.702298	0.688095	0.695124
32	16	d	1607650	715	671	0.665183	0.715686	0.689511
33	155	is▁	1605402	408	486	0.712409	0.60373	0.653582
34	145	on▁	1576592	714	679	0.658217	0.695094	0.676153
35	128	er	1497612	537	523	0.728884	0.743736	0.736235
36	166	al▁	1440278	459	466	0.706549	0.700833	0.70368
37	25	b	1418183	602	542	0.652851	0.73586	0.691875
38	20	p	1400851	565	518	0.641138	0.692575	0.665865
39	158	st	1394436	578	516	0.650899	0.724943	0.685929
40	153	ing▁	1364886	722	418	0.377047	0.652894	0.478031
41	9	o	1323412	609	564	0.634248	0.713599	0.671588
42	160	at	1316434	629	636	0.733175	0.740354	0.736747
43	243	ne	1293042	505	516	0.722222	0.713188	0.717677
44	27	v	1271535	508	532	0.710402	0.66851	0.688819
45	141	ar	1251831	539	482	0.681319	0.769356	0.722666
46	210	li	1220210	512	862	0.686321	0.698608	0.69241
47	34	A	1218132	520	539	0.809496	0.780611	0.794791
48	18	u	1213711	741	698	0.723918	0.770603	0.746531
49	185	that▁	1188355	457	647	0.697674	0.480445	0.569033
50	375	te	1187962	429	470	0.720301	0.651925	0.684409
51	186	pro	1174331	238	283	0.752273	0.63035	0.685936
52	198	ri	1143860	581	552	0.725918	0.761197	0.743139
53	163	si	1142974	361	349	0.681967	0.701902	0.691791
54	24	w	1131902	665	572	0.6812	0.791405	0.732178
55	170	it	1128843	318	340	0.743357	0.695304	0.718528
56	304	me	1127870	390	422	0.69341	0.650508	0.671274
57	477	la	1125363	479	462	0.766187	0.809615	0.787303
58	169	ac	1120099	491	461	0.666064	0.708971	0.686848
59	140	al	1118293	471	460	0.744431	0.765993	0.755058
60	232	le	1109776	522	568	0.694757	0.711063	0.702816
61	342	ra	1109497	431	435	0.742009	0.731778	0.736858
62	191	for▁	1108112	378	391	0.654971	0.632752	0.64367
63	23	y	1063676	586	576	0.794893	0.799376	0.797128
64	233	vi	1049689	363	358	0.663472	0.663462	0.663467
65	15	l	1036720	496	419	0.614609	0.712142	0.65979
66	33	S	1032296	737	685	0.845811	0.921957	0.882244
67	29	k	997583	507	448	0.663202	0.766143	0.710966
68	139	en	990851	351	350	0.697213	0.706011	0.701585
69	32	C	962962	470	464	0.866935	0.875224	0.87106
70	134	or	960220	468	505	0.767165	0.719231	0.742425
71	149	g▁	957694	530	435	0.507812	0.616843	0.557043
72	184	as	957240	388	378	0.712881	0.739297	0.725849
73	212	di	943965	337	362	0.662352	0.616515	0.638612
74	225	be	940271	438	461	0.710836	0.665462	0.687401
75	205	un	932658	428	394	0.69891	0.748095	0.722667
76	124	th	929896	461	425	0.691436	0.738475	0.714182
77	172	an▁	919322	523	540	0.791667	0.773422	0.782438
78	144	on	912780	458	446	0.79811	0.823607	0.810658
79	281	se	912677	441	437	0.662924	0.661954	0.662439
80	157	er▁	910173	505	489	0.707131	0.722901	0.714929
81	125	n▁	906746	607	544	0.730971	0.81191	0.769318
82	179	ur	883751	396	402	0.801994	0.787582	0.794723
83	36	-	878159	433	313	0.517915	0.68078	0.588283
84	37	M	876394	477	450	0.84047	0.884077	0.861722
85	171	is	862587	323	298	0.63986	0.69084	0.664373
86	195	pl	837264	291	308	0.62782	0.601319	0.614284
87	203	ad	836265	375	374	0.698339	0.705696	0.701998
88	208	are▁	832821	207	203	0.573192	0.579323	0.576241
89	161	l▁	828410	262	231	0.612303	0.696172	0.65155
90	201	ation▁	827653	186	191	0.66474	0.652132	0.658375
91	242	ci	814915	217	241	0.746231	0.684579	0.714077
92	206	su	813352	300	296	0.689255	0.695062	0.692146
93	190	am	800087	258	307	0.730159	0.613409	0.666711
94	236	ul	797524	278	259	0.69086	0.737787	0.713553
95	174	il	792552	377	374	0.771084	0.767768	0.769422
96	282	lo	792012	329	295	0.668362	0.739428	0.702101
97	8	a	786299	418	437	0.753673	0.726316	0.739742
98	425	to	778068	409	343	0.58287	0.693096	0.633222
99	196	ts▁	768700	267	306	0.726337	0.635531	0.677907
100	159	ic	760602	318	315	0.790793	0.8026	0.796653
101	219	with▁	760188	293	304	0.690123	0.652532	0.670802
