Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	5	▁	23285730	47066	45276	0.925607	0.959785	0.942386
2	6	e	20079991	38282	36981	0.904036	0.935116	0.919313
3	7	n	12820996	23904	22714	0.880808	0.920582	0.900256
4	8	i	10202092	18454	17770	0.881583	0.918884	0.899847
5	9	r	9068726	17145	16367	0.872956	0.919134	0.89545
6	10	t	7604924	14199	13404	0.860315	0.910578	0.884733
7	11	s	7300631	13871	12926	0.848331	0.90752	0.876927
8	12	a	6319413	13783	12733	0.855686	0.917441	0.885488
9	13	d	5705203	10394	9793	0.838292	0.893833	0.865172
10	14	u	4880530	8437	8051	0.83161	0.879832	0.855041
11	15	h	4796889	9210	8891	0.846278	0.875885	0.860827
12	16	l	4236709	7549	7144	0.818812	0.865524	0.84152
13	17	o	3536964	6637	6843	0.831787	0.845495	0.838585
14	18	g	3428197	6624	6348	0.80651	0.845856	0.825714
15	19	c	3277037	5667	5477	0.812012	0.841678	0.826579
16	20	m	2900237	5398	4859	0.771525	0.849118	0.808464
17	21	b	1938162	3817	3423	0.74288	0.818149	0.7787
18	22	f	1852933	3410	3240	0.729887	0.773104	0.750874
19	23	w	1484497	3083	2944	0.760569	0.803651	0.781517
20	24	,	1449080	3579	3656	0.856499	0.84725	0.851849
21	25	k	1425816	2462	2442	0.778028	0.790166	0.78405
22	26	z	1356634	2661	2472	0.735204	0.782753	0.758234
23	27	.	1198126	2124	1953	0.897301	0.959201	0.927219
24	28	v	937934	2026	1947	0.739497	0.768914	0.753919
25	29	p	914138	1759	1771	0.769302	0.776869	0.773067
26	30	ü	815446	1598	1528	0.705621	0.739263	0.72205
27	31	S	770042	1739	1734	0.810956	0.800211	0.805548
28	32	ä	735388	1299	1253	0.711029	0.733721	0.722197
29	33	A	597061	1012	956	0.686848	0.729645	0.7076
30	34	D	530141	990	902	0.730007	0.795788	0.76148
31	35	E	524284	833	795	0.75782	0.78923	0.773206
32	36	B	468336	844	820	0.723635	0.75	0.736582
33	37	M	415767	1058	1039	0.804371	0.821165	0.812681
34	38	P	402672	907	848	0.824569	0.886692	0.854503
35	39	I	371799	465	463	0.799822	0.789382	0.794568
36	40	F	351786	635	606	0.745681	0.777063	0.761049
37	41	K	349214	688	678	0.763481	0.780591	0.771941
38	42	ö	343351	621	558	0.617627	0.681021	0.647776
