Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	5	▁	1869068	5012	4386	0.708083	0.785008	0.744564
2	7	n	1584392	4564	4341	0.74502	0.78117	0.762667
3	193	,▁	1438900	3761	4383	0.890562	0.768201	0.824868
4	185	en▁	1119470	2666	2770	0.691963	0.664608	0.678009
5	196	.▁	1103493	2901	3023	0.988497	0.95926	0.973659
6	186	e▁	1037663	2628	2687	0.708293	0.694184	0.701167
7	188	t▁	941206	2506	2409	0.664358	0.688338	0.676136
8	184	er	825507	2378	2232	0.664447	0.708489	0.685762
9	15	h	796267	2383	2378	0.694448	0.691352	0.692897
10	10	t	767515	2057	1941	0.670201	0.700808	0.685163
11	22	f	765552	2099	1966	0.644131	0.684702	0.663797
12	6	e	757162	1907	1965	0.721683	0.71177	0.716692
13	25	k	748405	2182	2125	0.705703	0.721477	0.713503
14	20	m	744431	2115	1917	0.672086	0.740953	0.704841
15	203	der▁	736572	1827	1818	0.633698	0.643781	0.638699
16	14	u	727399	2007	2046	0.736609	0.727428	0.731989
17	18	g	724819	1973	2348	0.763228	0.64403	0.698581
18	17	o	692453	1708	1846	0.783376	0.724668	0.752879
19	209	die▁	690761	1736	1838	0.686645	0.653449	0.669636
20	198	st	679066	1636	1587	0.662908	0.694224	0.678205
21	12	a	672915	2264	2334	0.776645	0.75902	0.767732
22	211	und▁	648419	1262	1247	0.868261	0.885074	0.876587
23	21	b	602446	1623	1652	0.703213	0.688544	0.695801
24	16	l	598315	1811	1609	0.613406	0.701648	0.654566
25	191	er▁	546679	1871	1933	0.70109	0.680357	0.690568
26	29	p	539081	1374	1457	0.702582	0.666285	0.683952
27	187	ch	534623	1260	1199	0.622064	0.660513	0.640712
28	192	s▁	496668	1228	1229	0.600132	0.603864	0.601993
29	8	i	459989	1398	1330	0.726636	0.759825	0.74286
30	32	ä	449109	1208	1480	0.62936	0.59733	0.612927
31	194	en	443129	1228	1233	0.648796	0.638935	0.643828
32	202	sch	440659	1154	1078	0.608306	0.651559	0.62919
33	214	den▁	436260	1251	1210	0.604749	0.628628	0.616457
34	23	w	429434	1519	1571	0.664218	0.63798	0.650835
35	215	ge	415606	1283	1214	0.556909	0.579272	0.56787
36	226	in▁	415330	1170	1144	0.611711	0.628149	0.619821
37	26	z	392703	1239	1172	0.683809	0.717174	0.700094
38	232	be	368898	853	897	0.572353	0.544978	0.55833
39	208	in	364910	968	1044	0.726419	0.68656	0.705928
40	200	an	363597	985	894	0.598571	0.660303	0.627924
41	34	D	363473	1005	916	0.633274	0.706729	0.667988
42	221	ten▁	361187	1174	1063	0.559339	0.616687	0.586615
43	13	d	359337	924	950	0.695565	0.666029	0.680476
44	11	s	355662	1011	1018	0.650794	0.648481	0.649635
45	40	F	351786	997	1003	0.731898	0.73516	0.733525
46	37	M	348510	1123	1164	0.813315	0.786456	0.79966
47	31	S	345296	1011	968	0.766562	0.795563	0.780793
48	228	ar	337101	896	935	0.719406	0.688773	0.703757
49	190	un	332433	814	803	0.629048	0.63565	0.632332
50	223	ung▁	329350	686	666	0.580228	0.590717	0.585426
51	213	ti	327348	597	636	0.608381	0.578712	0.593176
52	254	re	324089	797	832	0.64656	0.625557	0.635885
53	183	n▁	322502	974	910	0.585859	0.637235	0.610468
54	229	te▁	317614	1407	1473	0.664137	0.636004	0.649766
55	263	la	308892	813	730	0.603415	0.665964	0.633148
56	321	ri	308013	743	784	0.658813	0.621305	0.639509
57	41	K	297336	870	818	0.728064	0.77295	0.749836
58	249	g▁	296057	798	775	0.58235	0.597536	0.589846
59	219	es▁	295455	718	721	0.49014	0.489788	0.489964
60	387	se	276918	1040	957	0.60744	0.687916	0.645178
61	225	on	275567	683	748	0.746114	0.681108	0.71213
