Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	5	▁	54111	4368	3688	0.668436	0.766212	0.713992
2	142	,▁	47172	3530	3207	0.713382	0.805681	0.756727
3	7	n	39281	2407	2225	0.624145	0.665388	0.644107
4	134	en▁	35241	1970	1789	0.548499	0.614831	0.579774
5	146	.▁	32174	2058	2072	0.945049	0.925994	0.935424
6	135	e▁	30011	1951	1882	0.562383	0.588962	0.575366
7	137	t▁	27051	1705	1598	0.545249	0.563017	0.553991
8	10	t	26497	1585	1496	0.528819	0.563202	0.545469
9	151	der▁	25070	1263	1270	0.520744	0.510634	0.515639
10	154	die▁	24129	1224	1300	0.557494	0.532881	0.54491
11	133	er	23707	1466	1394	0.537101	0.58322	0.559211
12	11	s	21459	1496	1353	0.548611	0.620763	0.582461
13	6	e	20793	1583	1454	0.558024	0.62273	0.588604
14	25	k	20692	1308	1289	0.562934	0.591548	0.576886
15	161	und▁	20498	1048	1004	0.745557	0.781808	0.763252
16	14	h	19212	1506	1357	0.509099	0.57296	0.539145
17	18	o	18453	1509	1308	0.580223	0.648864	0.612627
18	22	f	17729	1012	850	0.436247	0.507049	0.468991
19	21	b	17661	1002	955	0.497461	0.52413	0.510447
20	12	a	17564	1868	1581	0.572834	0.676285	0.620276
21	15	u	17090	1227	1058	0.517229	0.606764	0.55843
22	148	sch	15595	885	737	0.365191	0.439424	0.398883
23	29	p	15445	1123	953	0.500897	0.569239	0.532886
24	143	en	15137	926	761	0.450324	0.530961	0.487329
25	8	i	14865	1248	1209	0.600248	0.621444	0.610662
26	17	g	14647	1380	923	0.447021	0.650411	0.529869
27	141	s▁	14300	1037	910	0.421908	0.486123	0.451745
28	149	st	14263	814	670	0.409368	0.520318	0.458223
29	163	den▁	14007	876	803	0.407458	0.440878	0.42351
30	20	m	13425	864	718	0.443731	0.52958	0.482869
31	140	er▁	13366	1257	1049	0.517238	0.614903	0.561858
32	164	ge	12554	721	744	0.417496	0.419648	0.418569
33	182	be	12024	693	530	0.336207	0.439272	0.380891
34	175	in▁	11982	902	858	0.504359	0.535432	0.519431
35	168	ung▁	11883	442	449	0.356785	0.354689	0.355734
