Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	5	▁	105248866	60075	60468	0.939015	0.930611	0.934794
2	6	e	90938739	53367	52374	0.905645	0.920515	0.91302
3	7	n	58145002	32252	31697	0.883236	0.896915	0.890023
4	8	i	46254031	24739	24741	0.88766	0.888777	0.888218
5	9	r	41077771	23607	23569	0.887931	0.886421	0.887175
6	10	t	34402108	19595	19060	0.861396	0.884276	0.872686
7	11	s	33096664	18413	18179	0.856626	0.861042	0.858829
8	12	a	28544635	17534	17070	0.86002	0.873348	0.866633
9	13	d	25870566	14018	14178	0.861534	0.84324	0.852289
10	14	u	22117989	11805	11784	0.836156	0.836236	0.836196
11	15	h	21764429	13018	12459	0.834839	0.866429	0.850341
12	16	l	19161479	10985	10552	0.809921	0.849455	0.829217
13	17	o	15960817	8289	8360	0.814075	0.816241	0.815157
14	18	g	15575809	9195	9160	0.811806	0.811967	0.811887
15	19	c	14851373	8262	7759	0.789243	0.830213	0.80921
16	20	m	13118529	7403	6661	0.735629	0.820529	0.775763
17	21	b	8767214	5296	5030	0.757258	0.783033	0.76993
18	22	f	8379316	4783	4760	0.736305	0.740099	0.738197
19	23	w	6732781	4090	4178	0.764586	0.74884	0.756631
20	24	,	6562730	3814	4444	0.885277	0.761559	0.818771
21	25	k	6449051	3796	3636	0.733215	0.765521	0.749019
22	26	z	6163310	3542	3538	0.720631	0.724872	0.722745
23	27	.	5383490	2962	2811	0.916038	0.978999	0.946473
24	28	v	4239442	2316	2270	0.649857	0.667473	0.658547
25	29	p	4120765	2144	2242	0.729932	0.700238	0.714777
26	30	ü	3699793	2092	2053	0.660098	0.670136	0.665079
27	31	S	3452359	2126	2186	0.764456	0.747568	0.755918
28	32	ä	3345237	2079	1907	0.643239	0.700111	0.670472
29	33	A	2704158	1601	1530	0.656145	0.686382	0.670923
30	34	D	2386120	1481	1414	0.708401	0.745191	0.72633
31	35	E	2383993	1090	1157	0.698675	0.664868	0.681353
32	36	B	2111252	1317	1217	0.671162	0.727912	0.698386
33	37	M	1878638	1255	1332	0.805286	0.755897	0.77981
34	38	P	1818061	989	1002	0.757401	0.74757	0.752453
35	39	I	1683480	532	554	0.731532	0.706491	0.718793
