Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	5	▁	8516134	4444	4590	0.81346	0.797108	0.805201
2	7	n	6984348	3943	4123	0.796576	0.784946	0.790718
3	192	,▁	6517693	4092	4348	0.882525	0.828617	0.854722
4	184	en▁	5137455	2656	2765	0.729126	0.712135	0.72053
5	195	.▁	4967399	2951	2935	0.971349	0.978565	0.974944
6	185	e▁	4673277	2543	2511	0.749199	0.753972	0.751578
7	187	t▁	4251209	2564	2676	0.754414	0.730335	0.74218
8	183	er	3705231	1983	2040	0.720135	0.702932	0.711429
9	15	h	3682545	2227	3012	0.740976	0.712023	0.726211
10	10	t	3571032	1908	1877	0.710579	0.721835	0.716163
11	6	e	3541039	1885	2005	0.804613	0.752142	0.777493
12	22	f	3460842	1930	1807	0.684763	0.742482	0.712455
13	25	k	3380985	1846	2216	0.77964	0.721144	0.749252
14	20	m	3365963	1885	1930	0.776097	0.760208	0.76807
15	202	der▁	3357018	1840	2018	0.698623	0.695574	0.697095
16	18	g	3269446	1855	1996	0.807148	0.746307	0.775536
17	208	die▁	3145697	1718	1749	0.724394	0.715551	0.719945
18	17	o	3087570	1837	1866	0.824499	0.807734	0.81603
19	197	st	3070521	1472	1464	0.714986	0.718275	0.716627
20	12	a	3008378	2123	2239	0.832612	0.782576	0.806819
21	14	u	2995814	1783	1790	0.776574	0.771938	0.774249
22	210	und▁	2937689	1335	1315	0.915559	0.931745	0.923581
23	11	s	2851218	1869	1784	0.717652	0.757563	0.737068
24	21	b	2710978	1502	1563	0.756155	0.724949	0.740223
25	190	er▁	2425080	1826	1910	0.769203	0.750821	0.759901
26	29	p	2409799	1297	1348	0.748803	0.733711	0.74118
27	186	ch	2361562	1130	1151	0.703402	0.691027	0.69716
28	191	s▁	2170884	1170	1211	0.705328	0.686032	0.695546
29	193	en	2115307	1226	1251	0.705793	0.690158	0.697888
30	201	sch	2072583	1235	1237	0.721056	0.711549	0.716271
31	8	i	2068127	1242	1285	0.824565	0.794649	0.809331
32	32	ä	2039552	1058	1064	0.68814	0.692444	0.690285
33	213	den▁	1984685	1153	1196	0.675882	0.666201	0.671006
34	23	w	1935854	1430	1471	0.759932	0.732585	0.746008
35	214	ge	1886852	1086	1087	0.596213	0.596755	0.596484
36	225	in▁	1738131	1085	1110	0.748811	0.731744	0.740179
37	26	z	1735275	1086	1086	0.761498	0.769474	0.765465
38	231	be	1670436	878	877	0.653288	0.650362	0.651822
39	220	ten▁	1658154	1069	1042	0.647255	0.663156	0.655109
40	199	an	1647925	836	808	0.685251	0.71773	0.701115
41	34	D	1635926	1121	1083	0.749943	0.77657	0.763024
42	13	d	1621103	946	971	0.755916	0.726788	0.741066
43	41	F	1582468	1033	985	0.795097	0.841477	0.81763
44	37	M	1570596	1290	1312	0.859485	0.847082	0.853238
45	16	l	1569447	871	830	0.678769	0.715411	0.696608
46	31	S	1543507	863	828	0.783428	0.818991	0.800815
47	227	ar	1517290	960	1019	0.792426	0.737662	0.764064
48	189	un	1508906	725	706	0.677484	0.690244	0.683804
49	222	ung▁	1499949	598	614	0.639155	0.626603	0.632817
50	212	ti	1473610	600	636	0.727067	0.684283	0.705027
51	228	te▁	1469772	1370	1366	0.72364	0.72543	0.724534
52	207	in	1451220	749	778	0.723564	0.689593	0.70617
53	254	re	1439630	885	970	0.749096	0.688284	0.717403
54	322	ri	1393499	717	766	0.70155	0.664803	0.682683
55	218	es▁	1360043	770	799	0.676084	0.645366	0.660368
56	262	la	1359335	756	782	0.694022	0.679266	0.686565
57	182	n▁	1354650	822	840	0.711454	0.705483	0.708456
58	40	K	1348886	790	776	0.74608	0.7662	0.756006
59	248	g▁	1304583	773	763	0.714753	0.719219	0.716979
60	298	le	1251840	750	727	0.696024	0.719566	0.7076
61	240	zu▁	1248772	732	755	0.658486	0.633227	0.64561
62	224	on	1248511	658	709	0.811249	0.772165	0.791224
63	30	ü	1233185	664	722	0.707388	0.652257	0.678705
64	244	ver	1217955	803	786	0.677309	0.693516	0.685316
65	241	gen▁	1207914	689	586	0.534955	0.628131	0.577811
66	211	al	1207048	715	746	0.772166	0.741639	0.756595
67	38	P	1196792	822	835	0.837532	0.831193	0.83435
68	282	si	1191472	509	527	0.782691	0.754589	0.768383
69	219	or	1178423	781	772	0.765447	0.779528	0.772423
70	49	T	1177741	854	800	0.767815	0.824648	0.795217
71	235	ra	1129010	541	558	0.760021	0.723781	0.741458
72	203	m▁	1122549	772	726	0.631118	0.667871	0.648974
73	249	von▁	1114880	770	746	0.64	0.663634	0.651603
74	50	L	1082472	640	602	0.694444	0.737403	0.715279
75	209	ein	1080723	491	519	0.637879	0.604572	0.620779
76	272	at	1075032	576	683	0.798071	0.67617	0.73208
77	188	ei	1072310	835	711	0.608429	0.718182	0.658766
78	43	W	1070324	647	665	0.835974	0.81658	0.826163
79	215	ie	1069461	581	560	0.677778	0.711753	0.69435
80	221	on▁	995679	313	291	0.670103	0.73221	0.699781
81	204	el	994174	544	521	0.686782	0.723297	0.704567
82	48	H	979964	581	563	0.815549	0.845038	0.830032
83	36	B	976138	746	702	0.784942	0.837124	0.810194
84	373	ts	945324	403	394	0.647143	0.678466	0.662434
85	251	eh	943069	556	580	0.65775	0.633136	0.645209
